id,IATA,en-GB,latitude,longitude,vibes
129054477,AJJ,Akjoujt (AJJ),19.730556,-14.374444,null
129055240,AJK,Araak (AJK),34.133333,49.833333,null
128668124,AJL,Aizawl (AJL),23.75,92.75,null
129054662,AJN,Ouani (AJN),-12.131051438214678,44.43007186501264,null
129053020,AJO,Aljouf (AJO),15.716667,44.25,null
95674401,AJR,Arvidsjaur (AJR),65.591389,19.285556,null
129056441,AJS,Abreojos (AJS),26.833333,-113.666667,null
95673748,AJU,Aracaju (AJU),-10.983333,-37.05,null
129052406,AJY,Agades (AJY),16.964167,7.993056,null
129055874,AKA,Ankang (AKA),32.708354,108.935409,null
128668195,AKB,Atka (AKB),52.217222,-174.200833,null
129054805,AKC,Akron International (AKC),41.04,-81.467778,null
129057717,AKD,Akola (AKD),20.666667,77.083333,null
129053794,AKE,Akieni (AKE),-1.172222,13.916667,null
128668312,AKF,Kufrah (AKF),24.2,23.333333,null
129057405,AKG,Anguganak (AKG),-3.633333,142.016667,null
129052970,AKH,Al Kharj (AKH),24.063333,47.580556,null
128668220,AKI,Akiak (AKI),60.905556,-161.223333,null
128668470,AKJ,Asahikawa (AKJ),43.666667,142.45,null
129057421,AKK,Akhiok (AKK),56.944444,-154.166667,null
95673805,AKL,Auckland International (AKL),-37.0089158,174.7862589,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129055239,AKM,Zakouma (AKM),10.883333,19.816667,null
128668221,AKN,King Salmon (AKN),58.668611,-156.635556,null
129056440,AKO,Akron (AKO),40.166667,-103.216667,null
128668310,AKP,Anaktuvuk (AKP),68.1375,-151.74,null
129052405,AKQ,Astraksetra (AKQ),-4.616667,105.233333,null
129055873,AKR,Akure (AKR),7.24674,5.30101,null
128668222,AKS,Auki (AKS),-8.697778,160.680833,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
129054804,AKT,Akrotiri (AKT),34.583333,32.983333,null
128668209,AKU,Aksu (AKU),41.166667,80.333333,null
128668223,AKV,Akulivik (AKV),60.81861,-78.14861,null
129057716,AKW,Aghajari (AKW),30.75,49.683333,null
128668184,AKX,Aktobe (AKX),50.25,57.216667,null
128668224,AKY,Sittwe (AKY),20.130278,92.880278,null
114115878,ALA,Almaty (ALA),43.35,77.033333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
95674229,ALB,Albany (ALB),42.745833,-73.805278,null
95565083,ALC,Alicante (ALC),38.2854661,-0.5600024,null
129053793,ALD,Alerta (ALD),-11.65047,-69.22897,null
129057404,ALE,Alpine (ALE),30.38405,-103.68351,null
128667326,ALF,Alta (ALF),69.979019,23.354187,null
95673422,ALG,Algiers (ALG),36.693333,3.217222,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128668244,ALH,Albany (ALH),-34.945,117.805833,null
129054476,ALI,Alice (ALI),27.74114,-98.02722,null
129052969,ALJ,Alexander Bay (ALJ),-28.575,16.53333,null
129057294,ALK,Asela (ALK),7.966667,39.116667,null
129057420,ALL,Albenga (ALL),44.05,8.216667,null
129054475,ALM,Alamogordo Municipal (ALM),32.845833,-105.985278,null
129053019,ALN,Alton (ALN),38.891667,-90.048333,null
95674175,ALO,Waterloo (ALO),42.556111,-92.399722,null
128668123,ALP,Aleppo (ALP),36.180833,37.226667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129055238,ALQ,Alegrete (ALQ),-29.799722,-55.763333,null
129053018,ALR,Alexandra (ALR),-45.213889,169.369444,null
128668245,ALS,Alamosa (ALS),37.436975,-105.865288,null
129056439,ALT,Alenquer (ALT),-1.933333,-54.766667,null
129053430,ALU,Alula (ALU),11.966667,50.8,null
95674325,ALW,Walla Walla (ALW),46.094722,-118.291111,null
129055872,ALX,Alexander City (ALX),32.933333,-85.95,null
129056822,ALY,Alexandria El Nohza (ALY),31.183903,29.948889,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128668469,ALZ,Alitak (ALZ),56.895833,-154.245833,null
95674058,AMA,Amarillo International (AMA),35.221082,-101.705589,null
129057715,AMB,Ambilobe (AMB),-13.183333,48.983333,null
129053792,AMC,Am Timan (AMC),11.033333,20.283333,null
95673366,AMD,Ahmedabad (AMD),23.066389,72.624167,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129057403,AME,Alto Molocue (AME),-15.833333,37.583333,null
129054803,AMF,Ama (AMF),-4.166667,141.666667,null
129053015,AMG,Amboin (AMG),-4.616667,143.7,null
128668246,AMH,Arba Mintch (AMH),6.036111,37.576944,null
129052968,AMJ,Almenara (AMJ),-16.183333,-40.683333,null
129057293,AMK,Durango Animas Airpark (AMK),37.15,-107.75,null
129054474,AML,Puerto Armuellas (AML),8.266667,-82.866667,null
95673636,AMM,Amman Queen Alia (AMM),31.7222741,35.9864199,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129055237,AMN,Alma (AMN),43.32198,-84.68778,null
129053017,AMO,Mao (AMO),14.116667,15.316667,null
129052403,AMP,Ampanihy (AMP),-24.7,44.733333,null
128668309,AMQ,Ambon (AMQ),-3.71026,128.08914,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129055871,AMR,Arno (AMR),7.033333,171.233333,null
95565044,AMS,Amsterdam Schiphol (AMS),52.308333,4.768056,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
129054802,AMT,Amata (AMT),-26.766667,132.033333,null
129057714,AMU,Amanab (AMU),-3.516667,141.15,null
128667420,AMV,Amderma (AMV),69.766667,61.55,null
129053791,AMW,Ames (AMW),41.994167,-93.618333,null
129057402,AMX,Ammaroo (AMX),-21.74,135.24,null
129052754,AMY,Ambatomainty (AMY),-17.683333,45.666667,null
129052967,AMZ,Ardmore (AMZ),-37.033333,174.966667,null
142219412,ANA,Angama Mara (ANA),-1.271505,34.953816,null
129056438,ANB,Anniston County Arpt (ANB),33.590278,-85.855833,null
95673946,ANC,Anchorage International (ANC),61.169167,-149.985278,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
129054473,AND,Anderson (AND),34.493611,-82.71,null
95673936,ANE,Angers (ANE),47.56254,-0.31268,null
104120394,ANF,Antofagasta (ANF),-23.439444,-70.442778,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
129056455,ANG,Angouleme (ANG),45.7299,0.216,null
129055236,ANH,Anuha Island Resort (ANH),-8.983333,160.5,null
128668247,ANI,Aniak (ANI),61.566667,-159.533333,null
129053016,ANJ,Zanaga (ANJ),-2.85,13.833333,null
129056437,ANL,Andulo (ANL),-11.25,17.25,null
128668183,ANM,Antalaha (ANM),-15,50.316667,null
129052402,ANN,Annette Island (ANN),55.036944,-131.570556,null
129055870,ANO,Angoche (ANO),-16.177778,39.936944,null
129054801,ANP,Annapolis (ANP),38.983333,-76.5,null
129057713,ANQ,Angola (ANQ),41.63949,-85.08663,null
95565037,ANR,Antwerp Deurne (ANR),51.19,4.46,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
128668248,ANS,Andahuaylas (ANS),-13.716667,-73.355833,null
129053790,ANT,St Anton (ANT),47.15,10.283333,null
95674321,ANU,Saint John's (ANU),17.141111,-61.785556,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
128667325,ANV,Anvik (ANV),62.647778,-160.188889,null
129057401,ANW,Ainsworth (ANW),42.57917,-99.99318,null
128668249,ANX,Andenes (ANX),69.293056,16.141667,null
129054980,ANY,Anthony (ANY),37.159769,-98.077869,null
129052966,ANZ,Angus Downs (ANZ),-25.083333,132.166667,null
129054486,AOA,Aroa (AOA),-9.05,146.8,null
129057291,AOB,Annanberg (AOB),-4.916667,144.65,null
129054472,AOC,Altenburg (AOC),50.981817,12.506361,null
129055235,AOD,Abou Deia (AOD),11.474722,19.288889,null
